district;municipality
101;1
101;2
101;3
101;4
101;5
101;6
101;7
101;8
101;9
101;10
101;11
101;12
101;13
101;14
102;21
102;22
102;23
102;24
102;25
102;26
102;27
102;28
102;29
102;30
102;31
102;32
102;33
102;34
102;35
102;37
102;38
102;39
102;40
102;41
102;43
103;51
103;52
103;53
103;54
103;55
103;56
103;57
103;58
103;59
103;60
103;61
103;62
103;63
103;64
103;65
103;66
103;67
103;68
103;69
103;70
103;71
103;72
104;81
104;82
104;83
104;84
104;85
104;86
104;87
104;88
104;89
104;90
104;91
104;92
104;93
104;94
104;95
104;96
104;97
104;98
104;99
104;100
104;101
104;102
105;111
105;112
105;113
105;114
105;115
105;116
105;117
105;118
105;119
105;120
105;121
106;131
106;135
106;136
106;137
106;138
106;139
106;141
107;151
107;152
107;153
107;154
107;155
107;156
107;157
107;158
107;159
107;160
107;161
108;172
108;173
108;176
108;177
108;178
108;180
108;181
108;182
109;191
109;192
109;193
109;194
109;195
109;196
109;197
109;198
109;199
109;200
110;211
110;213
110;214
110;215
110;216
110;218
110;219
110;220
110;221
110;223
110;224
110;225
110;226
110;227
110;228
110;230
110;231
111;241
111;242
111;243
111;244
111;245
111;246
111;247
111;248
111;249
111;250
111;251
112;261
102;292
106;293
110;294
106;295
108;296
108;297
110;298
243;301
243;302
243;303
243;304
243;305
243;306
246;307
243;309
243;310
243;311
243;312
244;321
244;322
244;323
244;324
244;325
244;326
244;329
244;331
244;332
244;333
244;334
244;335
244;336
244;337
244;338
244;339
244;340
244;341
244;342
244;344
244;345
246;351
246;352
246;353
246;354
246;355
246;356
246;357
246;358
246;359
246;360
246;361
246;362
246;363
242;371
242;372
243;381
243;382
243;383
243;385
243;386
242;387
243;388
243;389
242;390
243;391
242;392
243;393
243;394
245;401
245;402
246;403
245;404
245;405
245;406
245;407
245;408
245;409
245;410
245;411
245;412
245;413
245;414
245;415
245;416
245;418
245;420
245;421
245;422
245;423
245;424
241;431
241;432
241;433
241;434
241;435
241;437
241;438
241;441
241;442
241;443
241;444
241;445
241;446
241;448
241;449
241;450
243;491
243;492
243;493
243;494
243;495
243;496
243;497
243;498
243;499
243;500
243;501
243;502
245;533
246;535
246;536
246;538
246;540
246;541
246;543
246;544
246;546
246;551
245;552
246;553
245;554
245;556
246;557
249;561
249;562
249;563
249;564
249;565
249;566
249;567
250;571
250;572
250;573
250;574
250;575
250;576
250;577
250;578
250;579
250;580
250;581
250;582
250;584
250;585
250;586
250;587
250;588
250;589
250;590
250;591
250;592
250;593
250;594
246;602
246;603
246;605
246;606
246;607
246;608
246;609
246;610
246;611
246;612
246;613
246;614
246;615
246;616
246;617
246;619
246;620
246;622
246;623
246;626
246;627
246;628
246;629
246;630
246;632
246;661
246;662
246;663
246;665
246;666
246;667
246;668
246;669
246;670
246;671
241;681
241;683
241;687
241;690
241;691
241;692
241;694
241;696
241;700
241;701
241;703
241;704
241;706
241;707
241;708
241;709
241;711
241;713
241;715
241;716
241;717
241;723
241;724
241;726
242;731
242;732
242;733
243;734
243;735
243;736
243;737
243;738
242;739
242;740
243;741
242;742
242;743
242;744
242;745
242;746
242;747
242;748
243;749
242;750
243;751
243;754
243;755
242;756
249;761
249;762
249;763
249;766
247;767
249;768
249;769
247;770
250;782
250;783
250;784
250;785
250;786
248;791
248;792
248;793
248;794
248;841
248;842
248;843
246;852
246;853
246;855
246;861
247;863
246;866
247;867
246;868
246;869
246;870
246;872
246;877
246;879
246;880
246;881
247;883
246;884
247;885
247;886
246;888
246;889
245;901
245;902
245;903
245;904
245;905
245;906
245;907
245;908
245;909
247;921
247;922
247;923
247;924
247;925
247;927
247;928
247;929
247;931
247;932
247;934
247;935
247;936
247;938
247;939
247;940
247;941
247;942
247;943
247;944
247;945
247;946
247;947
247;948
245;951
245;952
244;953
244;954
245;955
245;956
245;957
245;958
244;959
244;960
244;971
244;972
244;973
244;975
244;976
244;977
244;979
244;980
244;981
244;982
244;983
244;985
244;987
244;988
244;989
244;990
244;991
244;992
244;993
244;995
316;1001
316;1002
316;1004
316;1005
316;1007
316;1008
316;1009
316;1010
313;1021
313;1022
313;1023
313;1024
313;1025
313;1026
313;1030
313;1031
313;1032
313;1033
313;1037
313;1039
313;1040
313;1041
312;1051
312;1052
312;1053
312;1054
312;1055
312;1056
312;1057
312;1058
312;1059
311;1061
312;1062
312;1063
312;1064
312;1065
312;1066
312;1067
312;1068
312;1069
314;1081
314;1082
314;1083
314;1084
314;1085
314;1086
314;1088
314;1089
314;1091
314;1093
314;1094
314;1095
314;1097
314;1098
314;1099
314;1100
314;1102
314;1103
314;1104
316;1107
315;1121
315;1122
315;1123
315;1125
315;1127
315;1128
315;1129
315;1130
315;1131
315;1132
315;1135
315;1136
315;1137
315;1139
315;1140
315;1142
315;1143
315;1145
315;1146
315;1147
315;1150
315;1151
400;1201
400;1202
400;1203
400;1204
400;1205
400;1206
400;1207
400;1208
400;1209
400;1210
400;1211
400;1212
400;1213
400;1214
400;1215
400;1216
400;1217
400;1218
400;1219
400;1220
501;1301
502;1311
503;1321
503;1322
503;1323
504;1331
505;1341
505;1342
505;1343
505;1344
505;1345
505;1346
505;1347
505;1348
505;1349
506;1361
506;1362
506;1363
506;1364
506;1365
506;1366
506;1367
506;1368
506;1369
506;1370
506;1371
506;1372
506;1373
506;1374
506;1375
600;1401
600;1402
600;1403
600;1404
600;1405
600;1406
600;1407
700;1501
700;1502
700;1503
700;1504
700;1505
700;1506
700;1507
700;1508
700;1509
700;1510
700;1511
800;1630
800;1631
800;1632
900;1701
900;1702
900;1703
900;1704
900;1705
900;1706
900;1707
900;1708
900;1709
900;1710
900;1711
1001;2008
1001;2009
1001;2011
1001;2016
1001;2022
1001;2025
1001;2027
1001;2029
1001;2035
1001;2038
1001;2041
1001;2043
1001;2044
1001;2045
1001;2050
1001;2051
1001;2053
1001;2054
1001;2055
1002;2061
1002;2063
1002;2066
1002;2067
1002;2068
1002;2072
1002;2079
1002;2086
1002;2087
1002;2089
1002;2096
1002;2097
1002;2099
1002;2102
1002;2113
1002;2114
1002;2115
1002;2117
1003;2121
1003;2122
1003;2123
1003;2124
1003;2125
1003;2128
1003;2129
1003;2130
1003;2131
1003;2134
1003;2135
1003;2137
1003;2138
1003;2140
1003;2143
1003;2145
1003;2147
1003;2148
1003;2149
1003;2152
1003;2153
1003;2155
1003;2160
1003;2162
1003;2163
1004;2171
1004;2173
1004;2174
1004;2175
1004;2177
1004;2183
1004;2186
1004;2189
1004;2194
1004;2196
1004;2197
1004;2198
1004;2200
1004;2206
1004;2208
1004;2211
1004;2216
1004;2217
1004;2220
1004;2225
1004;2226
1004;2228
1004;2230
1004;2233
1004;2234
1004;2235
1004;2236
1004;2237
1005;2250
1005;2254
1005;2257
1005;2258
1005;2259
1005;2260
1005;2261
1005;2262
1005;2265
1005;2266
1005;2271
1005;2272
1005;2274
1005;2275
1005;2276
1005;2278
1005;2284
1006;2291
1006;2292
1006;2293
1006;2294
1006;2295
1006;2296
1006;2299
1006;2300
1006;2301
1006;2302
1006;2303
1006;2304
1006;2305
1006;2306
1006;2307
1006;2308
1006;2309
1007;2321
1007;2323
1007;2325
1007;2328
1007;2333
1007;2335
1007;2336
1007;2337
1007;2338
1101;2401
1101;2402
1101;2403
1101;2404
1101;2405
1101;2406
1101;2407
1101;2408
1102;2421
1102;2422
1102;2423
1102;2424
1102;2425
1102;2426
1102;2427
1102;2428
1102;2429
1103;2445
1103;2455
1103;2456
1103;2457
1103;2461
1103;2463
1103;2464
1103;2465
1104;2471
1104;2472
1104;2473
1104;2474
1104;2475
1104;2476
1104;2477
1104;2478
1104;2479
1104;2480
1104;2481
1105;2491
1105;2492
1105;2493
1105;2495
1105;2497
1105;2498
1105;2499
1105;2500
1105;2501
1105;2502
1105;2503
1106;2511
1106;2513
1106;2514
1106;2516
1106;2517
1106;2518
1106;2519
1106;2520
1106;2523
1106;2524
1106;2525
